,Topic,Count,Name_1,Topic,Count,Name_2,Model1_list,Model2_list,Intersection,Union
44,42,21,42_joke_true_list_hit,43.0,20.0,43_disgust_fetus_shameless_fart,"['42', 'joke', 'true', 'list', 'hit']","['43', 'disgust', 'fetus', 'shameless', 'fart']",0,10
45,44,20,44_white_men_racist_supremacist,44.0,20.0,44_never_doesnt_sens_ascrib,"['44', 'white', 'men', 'racist', 'supremacist']","['44', 'never', 'doesnt', 'sens', 'ascrib']",1,9
46,45,20,45_preciou_da_alguien_batman,45.0,20.0,45_sick_fcker_duel_cough,"['45', 'preciou', 'da', 'alguien', 'batman']","['45', 'sick', 'fcker', 'duel', 'cough']",1,9
47,46,20,46_ignor_ignoramu_code_histori,47.0,19.0,47_amend_nd_second_right,"['46', 'ignor', 'ignoramu', 'code', 'histori']","['47', 'amend', 'nd', 'second', 'right']",0,10
48,47,19,47_abort_clinic_unborn_treatment,46.0,19.0,46_law_enforc_maker_book,"['47', 'abort', 'clinic', 'unborn', 'treatment']","['46', 'law', 'enforc', 'maker', 'book']",0,10
49,48,18,48_tea_invit_old_year,48.0,18.0,48_vote_voter_biden_worri,"['48', 'tea', 'invit', 'old', 'year']","['48', 'vote', 'voter', 'biden', 'worri']",1,9
50,49,18,49_crimin_syndic_camera_corrupt,49.0,18.0,49_tyrann_govern_gov_fight,"['49', 'crimin', 'syndic', 'camera', 'corrupt']","['49', 'tyrann', 'govern', 'gov', 'fight']",1,9
51,50,17,50_budget_school_fund_build,50.0,18.0,50_kill_illeg_abort_rifl,"['50', 'budget', 'school', 'fund', 'build']","['50', 'kill', 'illeg', 'abort', 'rifl']",1,9
52,51,17,51_sugar_chang_attent_per,51.0,18.0,51_suprem_court_children_protect,"['51', 'sugar', 'chang', 'attent', 'per']","['51', 'suprem', 'court', 'children', 'protect']",1,9
53,54,16,54_ar_militari_weapon_war,52.0,18.0,52_hatr_hate_rhetor_condemn,"['54', 'ar', 'militari', 'weapon', 'war']","['52', 'hatr', 'hate', 'rhetor', 'condemn']",0,10
54,53,16,53_adam_hey_fan_concentr,53.0,17.0,53_safe_protect_read_need,"['53', 'adam', 'hey', 'fan', 'concentr']","['53', 'safe', 'protect', 'read', 'need']",1,9
55,52,16,52_ukrainian_putin_invad_she,54.0,17.0,54_truth_true_lie_resembl,"['52', 'ukrainian', 'putin', 'invad', 'she']","['54', 'truth', 'true', 'lie', 'resembl']",0,10
56,55,15,55_care_adamnnw_sooner_itnnjerk,56.0,16.0,56_crime_law_commit_curb,"['55', 'care', 'adamnnw', 'sooner', 'itnnjerk']","['56', 'crime', 'law', 'commit', 'curb']",0,10
57,56,15,56_hypocrisi_hypocrit_moral_ooz,55.0,16.0,55_ball_form_shit_help,"['56', 'hypocrisi', 'hypocrit', 'moral', 'ooz']","['55', 'ball', 'form', 'shit', 'help']",0,10
58,57,14,57_yep_ye_absolut_yessssss,57.0,15.0,57_bill_pass_reform_add,"['57', 'yep', 'ye', 'absolut', 'yessssss']","['57', 'bill', 'pass', 'reform', 'add']",1,9
59,58,14,58_bill_scotu_pass_protect,58.0,15.0,58_politician_parti_tragedi_benefit,"['58', 'bill', 'scotu', 'pass', 'protect']","['58', 'politician', 'parti', 'tragedi', 'benefit']",1,9
60,59,14,59_logic_argument_favor_sadli,59.0,15.0,59_swampsuit_furiou_pander_weak,"['59', 'logic', 'argument', 'favor', 'sadli']","['59', 'swampsuit', 'furiou', 'pander', 'weak']",1,9
61,64,13,64_children_victim_everyday_kill,60.0,15.0,60_liter_number_comprehens_transcript,"['64', 'children', 'victim', 'everyday', 'kill']","['60', 'liter', 'number', 'comprehens', 'transcript']",0,10
62,66,13,66_sound_like_nice_uneduc,61.0,15.0,61_protect_pass_children_scotu,"['66', 'sound', 'like', 'nice', 'uneduc']","['61', 'protect', 'pass', 'children', 'scotu']",0,10
63,65,13,65_bill_pass_protect_addit,62.0,14.0,62_rape_women_accus_fals,"['65', 'bill', 'pass', 'protect', 'addit']","['62', 'rape', 'women', 'accus', 'fals']",0,10
64,62,13,62_background_check_state_nic,63.0,14.0,63_braindamag_yall_stupid_argu,"['62', 'background', 'check', 'state', 'nic']","['63', 'braindamag', 'yall', 'stupid', 'argu']",0,10
65,63,13,63_polic_chicago_told_actin,64.0,13.0,64_chicago_law_illinoi_abid,"['63', 'polic', 'chicago', 'told', 'actin']","['64', 'chicago', 'law', 'illinoi', 'abid']",1,9
66,60,13,60_mcconnel_protect_swift_children,65.0,12.0,65_thoughtsandpray_opinion_think_shallow,"['60', 'mcconnel', 'protect', 'swift', 'children']","['65', 'thoughtsandpray', 'opinion', 'think', 'shallow']",0,10
67,61,13,61_knew_alreadi_qclkzdrdf_malcolm,66.0,12.0,66_didnt_carlson_tucker_bad,"['61', 'knew', 'alreadi', 'qclkzdrdf', 'malcolm']","['66', 'didnt', 'carlson', 'tucker', 'bad']",0,10
68,67,12,67_your_ass_ih_oygen,67.0,12.0,67_protect_firm_jk_asset,"['67', 'your', 'ass', 'ih', 'oygen']","['67', 'protect', 'firm', 'jk', 'asset']",1,9
69,68,12,68_knife_pepper_spray_tool,68.0,12.0,68_hypocrisi_hypocrit_nnstop_wellyou,"['68', 'knife', 'pepper', 'spray', 'tool']","['68', 'hypocrisi', 'hypocrit', 'nnstop', 'wellyou']",1,9
70,69,12,69_comprehens_word_low_rememb,69.0,11.0,69_blame_hate_readyjoy_llascdczam,"['69', 'comprehens', 'word', 'low', 'rememb']","['69', 'blame', 'hate', 'readyjoy', 'llascdczam']",1,9
71,70,12,70_touch_stamp_checkmark_touchin,70.0,11.0,70_realli_doorstep_throat_underst,"['70', 'touch', 'stamp', 'checkmark', 'touchin']","['70', 'realli', 'doorstep', 'throat', 'underst']",1,9
72,71,12,71_slave_southern_lincoln_progress,71.0,10.0,71_riot_rioter_took_set,"['71', 'slave', 'southern', 'lincoln', 'progress']","['71', 'riot', 'rioter', 'took', 'set']",1,9
73,72,12,72_truth_lie_resembl_brilliant,72.0,10.0,72_none_suspici_bibl_dontduh,"['72', 'truth', 'lie', 'resembl', 'brilliant']","['72', 'none', 'suspici', 'bibl', 'dontduh']",1,9
74,73,12,73_wrong_wtf_correct_wth,null,null,null,"['73', 'wrong', 'wtf', 'correct', 'wth']",['null'],0,6
75,78,11,78_sick_soul_mfer_hilari,null,null,null,"['78', 'sick', 'soul', 'mfer', 'hilari']",['null'],0,6
76,80,11,80_prayer_thought_kavanaugh_send,null,null,null,"['80', 'prayer', 'thought', 'kavanaugh', 'send']",['null'],0,6
77,79,11,79_fals_flag_oper_deep,null,null,null,"['79', 'fals', 'flag', 'oper', 'deep']",['null'],0,6
78,74,11,74_call_cop_report_guy,null,null,null,"['74', 'call', 'cop', 'report', 'guy']",['null'],0,6
79,77,11,77_law_place_buy_would,null,null,null,"['77', 'law', 'place', 'buy', 'would']",['null'],0,6
80,76,11,76_none_one_prob_redher,null,null,null,"['76', 'none', 'one', 'prob', 'redher']",['null'],0,6
81,75,11,75_otherwis_believ_pretend_dimwit,null,null,null,"['75', 'otherwis', 'believ', 'pretend', 'dimwit']",['null'],0,6
82,81,10,81_idiot_your_moron_vlown,null,null,null,"['81', 'idiot', 'your', 'moron', 'vlown']",['null'],0,6
83,82,10,82_politician_precis_lee_reformnyet,null,null,null,"['82', 'politician', 'precis', 'lee', 'reformnyet']",['null'],0,6
84,83,10,83_regul_militia_bear_shall,null,null,null,"['83', 'regul', 'militia', 'bear', 'shall']",['null'],0,6
